"","Ameletopsis","Tanypodinae","Austroperla","Coloburiscus","Orthocladiinae","Cristaperla","Deleatidium","Eriopterini","Ceratopogonidae","Hydora.adult","Hydora.larvae","Hydrobiosella","Oligochaetae","Paracalliope","Hexatomini","Chironominae","Stenoperla","Zelandoperla","Paranephrops"
"Ameletopsis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tanypodinae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Austroperla",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Coloburiscus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Orthocladiinae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Cristaperla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Deleatidium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Eriopterini",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ceratopogonidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hydora.adult",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hydora.larvae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Hydrobiosella",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Oligochaetae",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
"Paracalliope",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hexatomini",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chironominae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stenoperla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zelandoperla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Paranephrops",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
